Person_ID,Crash_Date,Crash_Location,Victim,Longitude,Latitude,Location
O589442,02/22/2019 09:25:00 AM,800 E 87TH ST,PEDESTRIAN,-87.60476457,41.73675996,POINT (-87.60476457 41.73675996)
O1225888,11/12/2021 05:20:00 PM,6800 N WESTERN AVE,PEDESTRIAN,-87.69021903,42.00507612,POINT (-87.69021903 42.00507612)
P278533,12/12/2021 12:45:00 PM,5301 N DUSABLE LAKE SHORE DR,PASSENGER,-87.65088926,41.97833081,POINT (-87.65088926 41.97833081)
O682953,06/30/2019 12:00:00 PM,9859 S VAN VLISSINGEN RD,PEDESTRIAN,-87.5742,41.715622,POINT (-87.5742 41.715622)
O1466301,11/20/2022 07:55:00 PM,1415 S MICHIGAN AVE,DRIVER,-87.62392247,41.8636335,POINT (-87.62392247 41.8636335)
O1145916,07/23/2021 12:55:00 PM,1199 S KILBOURN AVE,DRIVER,-87.73726115,41.86604904,POINT (-87.73726115 41.86604904)
P315386,09/14/2022 05:48:00 PM,5933 S HAMLIN AVE,PASSENGER,-87.71802496,41.7851077,POINT (-87.71802496 41.7851077)
P199374,04/14/2020 07:22:00 PM,2701 E 100TH ST,PASSENGER,-87.55804,41.713243,POINT (-87.55804 41.713243)
O1693281,10/30/2023 08:46:00 PM,3050 S DUSABLE LAKE SHORE DRIVE SB,DRIVER,-87.616351,41.857115,POINT (-87.616351 41.857115)
O1330962,05/06/2022 02:32:00 AM,1200 S DAMEN AVE,PEDESTRIAN,-87.67639524,41.86670667,POINT (-87.67639524 41.86670667)
P154084,06/23/2019 06:05:00 PM,2255 W HARRISON ST,PASSENGER,-87.6835,41.873822,POINT (-87.6835 41.873822)
O1265986,01/20/2022 03:16:00 AM,4055 W PETERSON AVE,DRIVER,-87.73080373,41.98999904,POINT (-87.73080373 41.98999904)
O1206912,10/17/2021 01:27:00 AM,4233 W 36TH ST,DRIVER,-87.73040368,41.82704903,POINT (-87.73040368 41.82704903)
O979491,10/19/2020 12:38:00 PM,3402 S WESTERN BLVD,DRIVER,-87.69346,41.924737,POINT (-87.69346 41.924737)
O914788,07/08/2020 10:29:00 PM,11800 S HALSTED ST,DRIVER,-87.72779,41.895197,POINT (-87.72779 41.895197)
P370958,10/06/2023 11:48:00 AM,2901 S DUSABLE LAKE SHORE DRIVE NB,PASSENGER,-87.60962808,41.84206837,POINT (-87.60962808 41.84206837)
P230998,01/06/2021 11:20:00 PM,8623 S VINCENNES AVE,PASSENGER,-87.64234,41.737903,POINT (-87.64234 41.737903)
O1408357,08/29/2022 07:45:00 AM,1201 N CICERO AVE,DRIVER,-87.74583229,41.90239931,POINT (-87.74583229 41.90239931)
O740769,09/17/2019 12:00:00 AM,530 N LA SALLE DR,PEDESTRIAN,-87.63273,41.891682,POINT (-87.63273 41.891682)
O888367,05/24/2020 02:16:00 PM,1155 S KEDZIE AVE,PEDESTRIAN,-87.70553,41.866519,POINT (-87.70553 41.866519)
O1599389,06/16/2023 05:42:00 PM,3803 W ROOSEVELT RD,DRIVER,-87.72026401,41.86612813,POINT (-87.72026401 41.86612813)
O1372404,07/04/2022 10:09:00 PM,6805 S SOUTH CHICAGO AVE,DRIVER,-87.61229795,41.77083736,POINT (-87.61229795 41.77083736)
O917328,07/13/2020 03:50:00 AM,6327 S HARLEM AVE,DRIVER,-87.70759658,41.88432205,POINT (-87.70759658 41.88432205)
O1062672,03/22/2021 12:00:00 AM,6230 S HONORE ST,PEDESTRIAN,-87.67044,41.780257,POINT (-87.67044 41.780257)
O902710,06/19/2020 11:01:00 PM,4700 S COTTAGE GROVE AVE,PEDESTRIAN,-87.64387,41.739661,POINT (-87.64387 41.739661)
O805341,12/15/2019 05:00:00 AM,400 W POLK ST,DRIVER,-87.63771,41.872159,POINT (-87.63771 41.872159)
O1625666,07/25/2023 10:35:00 PM,5131 N BROADWAY,PEDESTRIAN,-87.65969822,41.97553286,POINT (-87.65969822 41.97553286)
O955550,09/10/2020 03:00:00 PM,4923 S DR MARTIN LUTHER KING JR DR,PASSENGER,-87.80076,41.77739,POINT (-87.80076 41.77739)
O1023661,01/13/2021 12:30:00 AM,3300 E 100TH ST,DRIVER,-87.54322,41.713924,POINT (-87.54322 41.713924)
O1133286,07/05/2021 01:50:00 AM,1109 S INDEPENDENCE BLVD,PEDESTRIAN,-87.71942404,41.86774523,POINT (-87.71942404 41.86774523)
O728695,08/31/2019 03:41:00 PM,4741 W FULLERTON AVE,PEDESTRIAN,-87.74553,41.924141,POINT (-87.74553 41.924141)
P268396,10/03/2021 03:03:00 AM,2400 W IRVING PARK RD,PASSENGER,-87.68858958,41.9541207,POINT (-87.68858958 41.9541207)
O974151,10/10/2020 03:47:00 AM,2602 S WESTERN AVE,DRIVER,-87.72866342,41.98592799,POINT (-87.72866342 41.98592799)
P251894,06/20/2021 01:15:00 AM,3900 S STATE ST,PASSENGER,-87.62657307,41.82362966,POINT (-87.62657307 41.82362966)
O1235481,11/27/2021 11:38:00 PM,4400 W CERMAK RD,PEDESTRIAN,-87.73455933,41.8515092,POINT (-87.73455933 41.8515092)
O715980,08/13/2019 10:03:00 AM,799 W 51ST ST,DRIVER,-87.64528,41.801475,POINT (-87.64528 41.801475)
O1449677,10/27/2022 12:30:00 PM,4644 S SACRAMENTO AVE,PEDESTRIAN,-87.699191,41.808656,POINT (-87.699191 41.808656)
O738858,01/27/2019 01:20:00 AM,13000 S AVENUE O,DRIVER,-87.54003,41.659043,POINT (-87.54003 41.659043)
O989412,11/05/2020 11:05:00 PM,4033 W FULLERTON AVE,DRIVER,-87.77393,41.876374,POINT (-87.77393 41.876374)
O1160020,08/11/2021 10:50:00 PM,9500 S DORCHESTER,DRIVER,-87.59079881,41.72219098,POINT (-87.59079881 41.72219098)
O1359859,06/02/2022 05:40:00 PM,2206 W EASTWOOD AVE,PEDESTRIAN,-87.68432082,41.96604151,POINT (-87.68432082 41.96604151)
P148464,05/24/2019 11:17:00 PM,2634 E 126TH ST,PASSENGER,-87.55865,41.666288,POINT (-87.55865 41.666288)
P340960,03/26/2023 09:16:00 AM,13000 S EVANS AVE,PASSENGER,-87.6035523,41.65912962,POINT (-87.6035523 41.65912962)
O1189531,09/21/2021 01:30:00 PM,3600 S CALIFORNIA AVE,PEDESTRIAN,-87.69490963,41.82822428,POINT (-87.69490963 41.82822428)
O773263,11/02/2019 01:08:00 PM,5 E CONGRESS PKWY,PEDESTRIAN,-87.6276,41.8755682,POINT (-87.6276 41.8755682)
O1481201,12/15/2022 05:50:00 AM,2616 S PULASKI RD,PEDESTRIAN,-87.72455538,41.84425487,POINT (-87.72455538 41.84425487)
O1122355,06/20/2021 12:25:00 AM,410 N CICERO AVE,DRIVER,-87.74571338,41.88824133,POINT (-87.74571338 41.88824133)
